Location,Gender,Age,Food_Satisfaction,Entertainment_Satisfaction,Cleanliness_Satisfaction,Amenities_Satisfaction,Staff_Satisfaction,Recommendation,Thinking_of_Moving
Chartwell,Male,80-89,3,5,2,4,5,Maybe,Maybe
Maplewood,Female,80-89,1,1,3,3,5,Yes,No
Revera,Female,90+,5,1,2,2,4,Yes,No
Redwoods,Female,80-89,3,5,4,2,3,Yes,No
Chartwell,Female,80-89,2,3,3,5,4,Maybe,Maybe
Chartwell,Female,90+,3,5,3,2,5,No,No
Chartwell,Female,80-89,3,5,5,3,1,Maybe,Maybe
Maplewood,Female,90+,2,3,3,2,1,Maybe,Maybe
Redwoods,Female,70-79,4,5,2,4,2,Maybe,No
Revera,Female,80-89,4,1,5,2,2,No,No
Chartwell,Male,70-79,1,5,3,5,1,No,No
Maplewood,Female,70-79,1,3,3,2,5,Yes,Maybe
Revera,Female,90+,4,4,4,3,2,Maybe,No
Chartwell,Male,70-79,5,5,3,3,4,Yes,No
Chartwell,Female,80-89,3,2,1,2,4,Yes,Maybe
Chartwell,Female,80-89,5,1,5,3,5,No,No
Chartwell,Male,80-89,3,1,1,3,2,Yes,No
Redwoods,Female,90+,4,2,5,5,4,No,No
Chartwell,Female,60-69,1,2,4,4,2,No,Yes
Chartwell,Male,80-89,1,5,3,5,2,No,Maybe
Redwoods,Female,90+,5,2,3,1,4,Maybe,Yes
Chartwell,Female,80-89,1,4,3,5,1,Yes,No
Chartwell,Female,90+,4,3,5,2,4,No,Maybe
Chartwell,Female,70-79,5,2,3,4,5,No,No
Chartwell,Female,80-89,3,2,1,2,3,No,Maybe
Revera,Female,80-89,1,4,3,1,4,Maybe,Maybe
Chartwell,Female,90+,2,1,4,4,2,Yes,No
Redwoods,Female,90+,1,1,1,3,2,No,Yes
Redwoods,Female,80-89,3,5,3,5,4,Yes,No
Chartwell,Female,80-89,5,4,3,2,3,Maybe,No
Redwoods,Male,80-89,3,3,2,1,4,Yes,Yes
Chartwell,Female,80-89,2,3,5,3,3,Maybe,No
Chartwell,Female,80-89,4,4,1,5,3,Yes,Yes
Maplewood,Male,90+,1,3,2,3,5,Yes,Maybe
Maplewood,Male,80-89,5,1,4,5,2,No,Yes
Revera,Female,80-89,4,3,5,4,2,Maybe,Yes
Chartwell,Female,70-79,3,3,1,3,3,No,No
